Name;Console;ID
Mendel-Palace--Namco-Museum-Archives-Vol-2-;NES;76653
Metal-Gear;NES;76659
Metroid;NES;76670
Metroid--Virtual-Console-;NES;76671
Mighty-Bomb-Jack;NES;76689
Mighty-Final-Fight;NES;76692
Mike-Tysons-Punch-Out!!;NES;76696
Mini-Putt;NES;571
Mission-Impossible;NES;76711
Mitsume-Ga-Tooru;NES;578
Moai-Kun;NES;580
Monster-in-My-Pocket;NES;76741
Moon-Crystal;NES;586
Motocross-Champion;NES;589
Mr.-Gimmick;NES;76755
Nadia-Secret-of-the-Blue-Water;NES;599
Naughty-Kokkuns-Gourmet-World;NES;602
NES-Open-Tournament-Golf;NES;76803
NES-Open-Tournament-Golf--Virtual-Console-;NES;76801
New-Ghostbusters-II;NES;76813
NewZealand-Story-The;NES;76817
Nigel-Mansells-World-Championship;NES;76822
Ninja-Boy-2;NES;609
Ninja-Jajamaru-kun--Virtual-Console-;NES;76843
Ninja-Jajamaru-Galactic-Battle;NES;615
Ninja-Jajamaru-Legend-of-a-Demons-Attack;NES;4395
Nintendo-World-Cup;NES;76861
Noahs-Ark;NES;76869
North-&-South;NES;76878
Open!-Ponkikki;NES;2934
Operation-Wolf;NES;76894
Over-Horizon;NES;76902
P.O.W.-Prisoners-of-War;NES;76904
